Date,Open,High,Low,Close,Adj Close,Volume,Dividends,StockSplits
2023-02-16,2474.800048828125,2537.0,2469.5,2493.179931640625,2461.96630859375,341200,0.0,0.0
2023-02-17,2465.639892578125,2474.669921875,2442.510009765625,2462.010009765625,2431.186767578125,287000,0.0,0.0
2023-02-21,2415.06005859375,2449.7099609375,2415.06005859375,2425.489990234375,2395.123779296875,225200,0.0,0.0
2023-02-22,2423.27001953125,2449.669921875,2418.60009765625,2426.7099609375,2396.32861328125,166000,0.0,0.0
2023-02-23,2429.739990234375,2454.0400390625,2382.550048828125,2426.489990234375,2396.111572265625,419600,0.0,0.0
2023-02-24,2430.0,2489.2099609375,2405.0400390625,2452.47998046875,2421.77587890625,563700,0.0,0.0
2023-02-27,2480.389892578125,2528.760009765625,2475.1201171875,2521.080078125,2489.517333984375,362900,0.0,0.0
2023-02-28,2511.840087890625,2548.889892578125,2501.14990234375,2524.0,2492.400390625,340000,0.0,0.0
2023-03-01,2530.0,2554.25,2524.909912109375,2552.320068359375,2520.36572265625,328900,0.0,0.0
2023-03-02,2539.659912109375,2583.60009765625,2527.820068359375,2577.830078125,2545.556640625,328700,0.0,0.0
2023-03-03,2600.0,2628.25,2589.300048828125,2620.39990234375,2587.593505859375,419100,0.0,0.0
2023-03-06,2574.659912109375,2626.4599609375,2574.659912109375,2613.429931640625,2580.710693359375,448000,0.0,0.0
2023-03-07,2599.77001953125,2630.0,2571.429931640625,2578.89990234375,2546.61328125,297200,0.0,0.0
2023-03-08,2577.39990234375,2600.0400390625,2563.68994140625,2582.8701171875,2550.533203125,211400,0.0,0.0
2023-03-09,2571.409912109375,2587.3701171875,2503.550048828125,2505.389892578125,2474.0234375,326300,0.0,0.0
2023-03-10,2508.889892578125,2524.590087890625,2461.469970703125,2480.489990234375,2449.43505859375,383600,0.0,0.0
2023-03-13,2459.85009765625,2467.659912109375,2432.93994140625,2438.889892578125,2408.35595703125,418200,0.0,0.0
2023-03-14,2499.02001953125,2513.360107421875,2460.0,2475.75,2444.754638671875,378900,0.0,0.0
2023-03-15,2418.639892578125,2434.52001953125,2383.179931640625,2415.72998046875,2385.48583984375,425600,0.0,0.0
2023-03-16,2403.97998046875,2452.43994140625,2401.010009765625,2439.909912109375,2409.36279296875,337600,0.0,0.0
2023-03-17,2439.909912109375,2445.610107421875,2392.81005859375,2440.85009765625,2410.291748046875,798800,0.0,0.0
2023-03-20,2450.530029296875,2503.889892578125,2438.1298828125,2493.72998046875,2462.509765625,322900,0.0,0.0
2023-03-21,2517.81005859375,2581.699951171875,2517.81005859375,2571.320068359375,2539.12841796875,282500,0.0,0.0
2023-03-22,2577.3701171875,2611.989990234375,2557.0,2558.239990234375,2526.211669921875,273100,0.0,0.0
