Date,Open,High,Low,Close,Volume,Dividends,StockSplits
2023-02-16,67.98073138272746,69.78002899124641,67.6744690475134,68.99522399902344,1689500,0.0,0.0
2023-02-17,68.21569113173983,69.51495189573407,68.1387038297614,68.75464630126953,2570500,0.4,0.0
2023-02-21,67.71524712797094,67.97509490014782,66.50260705837911,66.74320983886719,2519600,0.0,0.0
2023-02-22,66.88756310916679,68.17719029789646,66.46409992833588,67.62861633300781,2104100,0.0,0.0
2023-02-23,68.38892392851234,69.51495038907623,68.13870235293219,68.53328704833984,2191600,0.0,0.0
2023-02-24,67.4168856819647,68.32154692425203,67.13778564316347,68.20606231689453,2156500,0.0,0.0
2023-02-27,68.91824339869251,69.87102810973735,67.30139283375556,67.7729721069336,2001200,0.0,0.0
2023-02-28,68.18680846540099,68.8123769975374,67.83072114384638,68.23493194580078,2173800,0.0,0.0
2023-03-01,67.86920335890963,69.84214834797915,67.59972952174355,69.23583221435547,2414700,0.0,0.0
2023-03-02,68.21567786484188,69.8710256885604,67.12815625628822,69.65929412841797,1943600,0.0,0.0
2023-03-03,69.92877262794187,70.50621764252017,69.72665989735832,70.36185455322266,2205300,0.0,0.0
2023-03-06,70.41960973184368,70.99705485203833,69.42832759603046,69.81329345703125,1953100,0.0,0.0
2023-03-07,69.34171395849904,69.95765639751234,68.34080565944915,68.5236587524414,1551300,0.0,0.0
2023-03-08,68.4851522933554,69.01447379873431,68.14830265775547,68.55252075195312,1628600,0.0,0.0
2023-03-09,68.42742011671758,68.85088330316823,64.7413842522194,64.83763122558594,2027000,0.0,0.0
2023-03-10,64.48153038641384,64.73175927668066,57.494428858424925,58.02375411987305,11398300,0.0,0.0
2023-03-13,57.51367449223793,58.177740371228914,54.04899667716932,56.27216720581055,11249100,0.0,0.0
2023-03-14,57.42705855895183,58.80330648562577,56.310662024514194,57.513675689697266,9980000,0.0,0.0
2023-03-15,55.33862655405375,55.9449464468726,54.33771834048433,55.44449234008789,8585100,0.0,0.0
2023-03-16,54.636064378778755,57.50404827036756,53.94312739216728,56.5416374206543,5817800,0.0,0.0
2023-03-17,55.61773019618204,56.012318542480465,53.44267937312714,54.40509033203125,6167800,0.0,0.0
2023-03-20,55.271261945871956,55.742841262212,53.77952568621266,54.67456817626953,4269000,0.0,0.0
2023-03-21,57.205701006771775,59.438493939884,56.72449556995783,58.42796325683594,5075100,0.0,0.0
2023-03-22,58.27397888762996,59.36150422563264,56.56088867141629,56.714874267578125,3235300,0.0,0.0
2023-03-23,56.88810805860257,57.81202162804476,55.107645716727205,55.53110885620117,3621400,0.0,0.0
2023-03-24,54.462833685240476,55.39637344518371,53.08658578666064,55.37712478637695,3389500,0.0,0.0
2023-03-27,55.86794819590551,57.234573489667426,55.15576623446695,56.7341194152832,2479200,0.0,0.0
2023-03-28,56.705252365682085,57.16721286020294,56.22404688258713,56.87848663330078,1269200,0.0,0.0
2023-03-29,57.77352477452502,58.41834198238919,57.22495085881547,58.379844665527344,2869700,0.0,0.0
2023-03-30,59.120903318514195,59.419252026440226,58.427966278844096,59.14015197753906,2559800,0.0,0.0
2023-03-31,59.74647528055154,60.949489003133785,59.534743690558976,60.7858772277832,2414400,0.0,0.0
2023-04-03,60.718505577843956,60.901362332443895,59.35188015137667,60.054443359375,1798500,0.0,0.0
2023-04-04,60.266171282414795,60.795496558544926,58.8129323965332,59.80421447753906,2567800,0.0,0.0
2023-04-05,59.15939803950967,59.82346022583746,57.812021337368066,59.0920295715332,2731700,0.0,0.0
2023-04-06,58.82255386917623,59.313385489858106,58.35097457858288,58.58195114135742,1417200,0.0,0.0
2023-04-10,58.427964323542405,59.592480620779,58.100744473682695,59.52511215209961,1530000,0.0,0.0
2023-04-11,59.86196131459558,61.22858308973306,59.43849815056485,60.75700378417969,1702200,0.0,0.0
2023-04-12,61.1804572596519,61.46917977953584,60.01594101571326,60.2276725769043,1374500,0.0,0.0
2023-04-13,60.76662544370714,62.48934188699516,60.612639841985136,62.36423110961914,1884900,0.0,0.0
2023-04-14,62.92242109939089,62.99941573251749,61.64242020106975,62.56633377075195,1619000,0.0,0.0
2023-04-17,62.28724463540397,62.91281328948573,61.84453643135275,62.79732131958008,1986300,0.0,0.0
2023-04-18,63.240013405027895,63.586481883823396,62.4989603125336,62.88391876220703,3168000,0.0,0.0
2023-04-19,62.479718542790955,63.58649262916277,62.21987081108913,63.32664489746094,1356300,0.0,0.0
2023-04-20,62.2198586674772,62.85504596689552,61.60391635299391,61.873390197753906,2001500,0.0,0.0
2023-04-21,61.70978851479223,61.80602813465319,60.90135955421305,61.151588439941406,1896200,0.0,0.0
2023-04-24,61.1130952592593,61.29595201789229,60.31429240939151,60.92061233520508,1635500,0.0,0.0
2023-04-25,60.34316050186363,60.54526589748379,59.26526138725013,59.31338119506836,1901700,0.0,0.0
2023-04-26,59.19789520247291,59.73684664961865,58.77443571126963,59.072784423828125,1445000,0.0,0.0
2023-04-27,59.63098230860019,60.42978516907555,58.82255695388221,60.33354187011719,1078400,0.0,0.0
2023-04-28,60.02556549941645,61.30557373080194,59.7849627796498,61.007225036621094,2263000,0.0,0.0
2023-05-01,60.93985944852446,61.979265009260764,60.651136905422035,61.324825286865234,2064000,0.0,0.0
2023-05-02,60.87248997303122,61.064972889025384,58.02375456449773,58.95729064941406,3064600,0.0,0.0
2023-05-03,58.803302298455094,60.25654475844765,58.52420593819889,58.63969421386719,2453100,0.0,0.0
2023-05-04,58.48571110142609,58.553079571030146,55.33862700345544,55.85832977294922,4077700,0.0,0.0
2023-05-05,55.84870299020381,58.30285370634245,55.84870299020381,58.254730224609375,2208700,0.0,0.0
2023-05-08,58.78405883794417,59.70797240988714,58.66856688797166,59.50586700439453,2431000,0.0,0.0
2023-05-09,58.91879608336727,60.99760346677419,57.638787832601075,59.919700622558594,4202700,0.0,0.0
2023-05-10,61.257455602242146,62.38347459942523,60.74737532585018,61.24782943725586,3859700,0.0,0.0
2023-05-11,60.978356766619804,62.056259645451455,60.71850537643572,61.324825286865234,2252400,0.0,0.0
2023-05-12,61.58467641623824,61.77715933459346,59.65022841016238,60.16030502319336,1848700,0.0,0.0
2023-05-15,60.45865006302827,61.39218977407721,59.90045367209303,60.805118560791016,1631500,0.0,0.0
2023-05-16,60.44903031828805,61.036097886961045,59.66947616287699,59.70797348022461,1723100,0.0,0.0
2023-05-17,60.38166243548538,61.76753283171374,59.958199283158116,61.03609848022461,2674300,0.0,0.0
2023-05-18,60.93023725596198,61.50768234502237,60.4682804504524,61.34407424926758,1963600,0.0,0.0
2023-05-19,61.93512797629708,62.24519090838495,61.0243185753192,61.86730194091797,1736700,0.43,0.0
2023-05-22,62.1773776709663,64.24124118691896,62.1773776709663,63.95055389404297,3488700,0.0,0.0
2023-05-23,63.63078978082798,64.22184843296317,62.31302039827909,62.32271194458008,1451600,0.0,0.0
2023-05-24,61.547545937614345,61.5669253312559,60.685183249892724,61.014625549316406,1626500,0.0,0.0
2023-05-25,61.32469485016026,62.564946602624694,61.024319761754505,62.23550796508789,2299500,0.0,0.0
2023-05-26,62.72966137023639,64.20246576379581,62.72966137023639,63.388545989990234,2207800,0.0,0.0
2023-05-30,64.14433031525591,65.06483500163193,63.80520012237371,64.7063217163086,3637000,0.0,0.0
2023-05-31,65.16172756087738,65.56868378780499,64.31874046868417,64.7741470336914,3728700,0.0,0.0
2023-06-01,64.85166175006837,66.36321760752487,64.53190727484231,65.88843536376953,3013000,0.0,0.0
2023-06-02,66.55701278119642,68.08794436565537,66.25663399933842,67.53564453125,2887000,0.0,0.0
2023-06-05,67.21589814010406,68.48521713932467,67.09962176600247,68.31080627441406,3116200,0.0,0.0
2023-06-06,68.02010502050558,69.12470447318604,67.9813536296063,68.7274398803711,3338500,0.0,0.0
2023-06-07,69.11503239302962,69.5898146355306,68.72745188400536,69.35726928710938,2611500,0.0,0.0
