Date,Open,High,Low,Close,Adj Close,Volume,Dividends,StockSplits,Capital Gains
2023-02-16,225.5,227.67999267578125,224.72000122070312,224.77999877929688,220.26039123535156,109500,0.0,0.0,0.0
2023-02-17,223.60000610351562,224.02000427246094,222.0399932861328,223.8699951171875,219.36868286132812,90000,0.0,0.0,0.0
2023-02-21,221.6300048828125,222.3000030517578,219.5500030517578,219.61000061035156,215.1943817138672,97500,0.0,0.0,0.0
2023-02-22,220.07000732421875,220.75,218.67999267578125,219.52999877929688,215.11595153808594,86300,0.0,0.0,0.0
2023-02-23,221.60000610351562,221.85000610351562,218.85000610351562,221.14999389648438,216.70339965820312,94800,0.0,0.0,0.0
2023-02-24,218.42999267578125,218.8300018310547,217.08999633789062,218.38999938964844,213.99887084960938,115700,0.0,0.0,0.0
2023-02-27,220.16000366210938,221.00999450683594,218.97000122070312,219.35000610351562,214.93959045410156,82400,0.0,0.0,0.0
2023-02-28,219.19000244140625,220.02999877929688,218.2899932861328,218.2899932861328,213.90089416503906,67500,0.0,0.0,0.0
2023-03-01,218.10000610351562,218.6300048828125,216.8000030517578,217.66000366210938,213.2835693359375,65700,0.0,0.0,0.0
2023-03-02,216.19000244140625,219.66000366210938,216.0,219.1699981689453,214.76321411132812,88300,0.0,0.0,0.0
2023-03-03,219.99000549316406,222.9199981689453,219.88999938964844,222.7899932861328,218.31040954589844,103700,0.0,0.0,0.0
2023-03-06,223.3800048828125,225.05999755859375,223.3300018310547,223.6300048828125,219.13352966308594,81200,0.0,0.0,0.0
2023-03-07,223.5399932861328,223.58999633789062,220.07000732421875,220.35000610351562,215.91946411132812,94500,0.0,0.0,0.0
2023-03-08,220.6300048828125,221.1199951171875,219.50999450683594,220.83999633789062,216.39962768554688,79000,0.0,0.0,0.0
2023-03-09,221.2100067138672,222.5399932861328,216.7899932861328,217.24000549316406,212.87200927734375,92800,0.0,0.0,0.0
2023-03-10,217.24000549316406,218.07000732421875,213.57000732421875,214.24000549316406,209.9323272705078,180900,0.0,0.0,0.0
2023-03-13,212.52000427246094,217.74000549316406,212.07000732421875,214.8699951171875,210.54965209960938,154000,0.0,0.0,0.0
2023-03-14,217.08999633789062,219.36000061035156,215.99000549316406,218.7100067138672,214.3124542236328,108000,0.0,0.0,0.0
2023-03-15,215.9600067138672,217.92999267578125,214.69000244140625,217.77999877929688,213.401123046875,260500,0.0,0.0,0.0
2023-03-16,216.47000122070312,221.94000244140625,216.35000610351562,221.7100067138672,217.25213623046875,173100,0.0,0.0,0.0
2023-03-17,221.74000549316406,222.47000122070312,219.25,219.85000610351562,215.4295196533203,170200,0.0,0.0,0.0
2023-03-20,220.22000122070312,222.4499969482422,219.86000061035156,222.13999938964844,217.6734619140625,148100,0.0,0.0,0.0
2023-03-21,223.6699981689453,225.6199951171875,223.13999938964844,225.36000061035156,220.82875061035156,103000,0.0,0.0,0.0
2023-03-22,225.41000366210938,228.0,222.2100067138672,222.2100067138672,217.74208068847656,127200,0.0,0.0,0.0
2023-03-23,224.24000549316406,226.5399932861328,221.80999755859375,223.39999389648438,218.90814208984375,174100,0.0,0.0,0.0
2023-03-24,221.85000610351562,223.86000061035156,220.66000366210938,223.77999877929688,219.95394897460938,137900,0.684,0.0,0.0
2023-03-27,224.6699981689453,225.14999389648438,223.17999267578125,223.61000061035156,219.78684997558594,128900,0.0,0.0,0.0
2023-03-28,223.17999267578125,223.17999267578125,221.72999572753906,222.8699951171875,219.0595245361328,85200,0.0,0.0,0.0
2023-03-29,225.11000061035156,225.8699951171875,224.38999938964844,225.75999450683594,221.9001007080078,130900,0.0,0.0,0.0
2023-03-30,226.94000244140625,227.17999267578125,226.11000061035156,227.07000732421875,223.18771362304688,107500,0.0,0.0,0.0
2023-03-31,227.66000366210938,230.57000732421875,227.66000366210938,230.47999572753906,226.5393829345703,104200,0.0,0.0,0.0
2023-04-03,230.3800048828125,232.16000366210938,230.30999755859375,232.0500030517578,228.08258056640625,99200,0.0,0.0,0.0
2023-04-04,232.49000549316406,232.49000549316406,230.27000427246094,230.89999389648438,226.9522247314453,102700,0.0,0.0,0.0
2023-04-05,230.39999389648438,230.72000122070312,229.07000732421875,230.13999938964844,226.20523071289062,100600,0.0,0.0,0.0
