Date,Open,High,Low,Close,Volume,Dividends,StockSplits,Capital Gains
2023-02-16,125.67786954392739,126.69536102815756,125.30351458206758,125.57229614257812,8008000,0.0,0.0,0.0
2023-02-17,124.97713155828575,126.92569861243246,124.86194994616133,126.6953353881836,10798800,0.0,0.0,0.0
2023-02-21,125.77385427852617,126.29220089129356,124.87155914620287,125.05393981933594,9066200,0.0,0.0,0.0
2023-02-22,125.18831975792419,125.48588204924656,124.37242551505588,124.63158416748047,7318900,0.0,0.0,0.0
2023-02-23,124.60279845004631,125.60108808525511,124.05567105013395,124.96755981445312,9955500,0.0,0.0,0.0
2023-02-24,123.91167028532853,124.15164176607944,122.99018800139528,123.35493469238281,9008000,0.0,0.0,0.0
2023-02-27,124.02687770190384,124.3724372511078,122.70223032217233,122.9805908203125,6463900,0.0,0.0,0.0
2023-02-28,122.70223865147739,122.77903129503535,121.96312227309362,122.06871032714844,10282800,0.0,0.0,0.0
2023-03-01,121.48314778163315,122.13587043617476,121.33917076642723,121.86710357666016,11101000,0.0,0.0,0.0
2023-03-02,121.31999999466841,122.9614116215304,121.31999999466841,122.6158447265625,10203100,0.0,0.0,0.0
2023-03-03,123.18216368599707,124.03646158151523,122.56783727401432,123.98846435546875,10048000,0.0,0.0,0.0
2023-03-06,124.07483944528606,124.49719156189649,123.64289374300564,123.93086242675781,8153400,0.0,0.0,0.0
2023-03-07,124.18043274829772,124.32442441963687,121.72312721641768,121.9343032836914,9604400,0.0,0.0,0.0
2023-03-08,121.68472837127646,122.05909059760639,120.79203422031618,121.28157806396484,10793200,0.0,0.0,0.0
2023-03-09,121.75193534715444,121.95351784942063,119.56339646365387,120.05294036865234,13270300,0.0,0.0,0.0
2023-03-10,119.85136374633365,120.84964604181727,118.70909708954346,119.16984558105469,20483200,0.0,0.0,0.0
2023-03-13,118.78589768403943,121.92472181875004,118.64191331308588,120.28331756591797,21294200,0.0,0.0,0.0
2023-03-14,121.0992171897279,121.73273812021355,120.14892480897628,121.35838317871094,14582900,0.0,0.0,0.0
2023-03-15,120.05294248026519,121.42557976181092,119.83216547660649,121.25279998779297,17244600,0.0,0.0,0.0
2023-03-16,120.3409054415095,122.44305071403072,120.00493949683081,122.38545989990234,16011400,0.0,0.0,0.0
2023-03-17,122.27987314177327,122.37586027411085,120.42729292659779,120.81124877929688,15071400,0.0,0.0,0.0
2023-03-20,121.01263882179137,122.52553739839502,121.01263882179137,122.34244537353516,10592100,0.489,0.0,0.0
2023-03-21,122.81463483443098,123.22899600919274,122.07264300385962,123.08445739746094,8816300,0.0,0.0,0.0
2023-03-22,123.15189962154177,123.60480683415422,121.20536317821754,121.22463989257812,10480000,0.0,0.0,0.0
2023-03-23,121.725730851791,122.45809164742965,120.29955533943286,120.99337005615234,10092300,0.0,0.0,0.0
2023-03-24,120.87772999414139,122.78571296835104,120.42482279111732,122.67008209228516,8163700,0.0,0.0,0.0
2023-03-27,123.53735746181754,124.09626460095295,123.02663476126428,123.17118072509766,9455400,0.0,0.0,0.0
2023-03-28,123.04589885118534,123.48916035147332,122.1304460754546,122.4291763305664,8037400,0.0,0.0,0.0
2023-03-29,123.03626416644451,123.19044112524492,122.23644959642421,122.76644897460938,8183100,0.0,0.0,0.0
2023-03-30,123.43135070800781,123.46990413825807,122.65081283943235,123.43135070800781,6820400,0.0,0.0,0.0
2023-03-31,123.84571904834823,124.81897995541141,123.7782578974122,124.75153350830078,9202500,0.0,0.0,0.0
2023-04-03,124.84789736156084,126.29334232583422,124.50098998198216,126.1488037109375,8937300,0.0,0.0,0.0
2023-04-04,126.28370589350943,126.90042846361474,125.93679852883608,126.16806030273438,9052600,0.0,0.0,0.0
2023-04-05,126.87151837527627,128.56750173547331,126.72696506546035,128.3458709716797,12325800,0.0,0.0,0.0
2023-04-06,128.84697144383853,129.23241755534997,128.2302488431242,128.66387939453125,8276300,0.0,0.0,0.0
2023-04-10,128.31697891495693,128.64460959774797,127.64244083161438,128.5771484375,8024300,0.0,0.0,0.0
2023-04-11,128.8758803532138,129.48295724924068,128.7987881894366,129.0107879638672,8887500,0.0,0.0,0.0
2023-04-12,129.51183933473405,129.99365423509218,128.81802470191246,129.04930114746094,8988600,0.0,0.0,0.0
2023-04-13,129.59859841416753,130.87058231341874,129.31913749205523,130.72604370117188,9373500,0.0,0.0,0.0
2023-04-14,130.42728918904746,130.70673533967712,129.19384431708121,129.6756591796875,6632100,0.0,0.0,0.0
2023-04-17,129.71424077346467,129.8587793984918,128.8951493547706,129.5697021484375,7187000,0.0,0.0,0.0
2023-04-18,129.82985796993216,129.82985796993216,128.50968965460282,128.68313598632812,7194200,0.0,0.0,0.0
2023-04-19,128.7216629938171,129.2709243020194,128.3265712697803,129.0782012939453,7048100,0.0,0.0,0.0
2023-04-20,128.46150986322712,128.74097079066075,127.94115614540382,128.54823303222656,6672000,0.0,0.0,0.0
2023-04-21,129.2516815097633,129.84912733476224,128.84695872149058,129.41549682617188,6535900,0.0,0.0,0.0
2023-04-24,129.55041450486746,130.17676809893175,129.22278384655158,130.1382293701172,6299800,0.0,0.0,0.0
2023-04-25,129.9454552940346,130.34053224860168,128.56745734282072,128.75054931640625,7752000,0.0,0.0,0.0
2023-04-26,127.61349295206954,127.70023081277915,126.15841718364045,126.91969299316406,10128800,0.0,0.0,0.0
2023-04-27,126.97749510009376,127.7676638417971,125.86931207555003,127.5845718383789,10008900,0.0,0.0,0.0
2023-04-28,127.4304163973599,129.0396764791173,127.22804765958999,128.67349243164062,7917300,0.0,0.0,0.0
2023-05-01,128.85657926044686,129.8587477923161,128.60604080343555,129.33839416503906,6793900,0.0,0.0,0.0
2023-05-02,129.12638728071914,129.94547845470072,127.85438894519335,128.77947998046875,14365800,0.0,0.0,0.0
2023-05-03,129.376940714911,129.99366324194722,128.4229565565506,128.60604858398438,8961500,0.0,0.0,0.0
2023-05-04,128.06638670892238,128.14347885266807,127.0449415359819,127.5845718383789,9625300,0.0,0.0,0.0
2023-05-05,128.4229692999838,129.17459949489907,127.9989697636057,128.7313232421875,7650300,0.0,0.0,0.0
2023-05-08,128.53856640668647,128.57710512539796,127.85438284302201,128.45184326171875,5305700,0.0,0.0,0.0
2023-05-09,127.96039999247934,128.56749149694377,127.5556772241112,127.59423065185547,6452700,0.0,0.0,0.0
2023-05-10,127.96040615197181,128.2687747734718,127.19914501135963,127.95077514648438,6556600,0.0,0.0,0.0
2023-05-11,127.68098645533142,127.75807862670723,126.75589510264987,127.55570983886719,8764800,0.0,0.0,0.0
2023-05-12,127.74843201816313,128.01824723311364,126.81370977214655,127.38224792480469,6626800,0.0,0.0,0.0
2023-05-15,127.40151385607673,127.48823701700647,126.61133029073862,127.16060638427734,5725600,0.0,0.0,0.0
2023-05-16,126.89078537191043,126.93896981040872,126.0717087327444,126.10061645507812,7106000,0.0,0.0,0.0
2023-05-17,126.31260670007501,126.41860657525058,124.84788516232855,126.25479125976562,15512700,0.0,0.0,0.0
2023-05-18,125.9849492952532,126.14876457592474,124.97313519339066,125.94639587402344,12196900,0.0,0.0,0.0
