Date,Type,Symbol,Quantity,Price,Amount,Trading Cost,Currency,Description,Exchange,Source
2025-02-12,Net Deposit,,,,14128.91,,INR,Deposit for SIP,India Market,Mutual Fund Account
2025-04-07,Net Deposit,,,,-17689.63,,INR,Redemption,India Market,Mutual Fund Account
2025-04-08,Net Deposit,,,,-11179.13,,INR,Redemption,India Market,Mutual Fund Account
2025-02-10,Net Deposit,,,,-14130.62,,INR,Redemption,India Market,Mutual Fund Account
2025-03-18,Net Deposit,,,,7345.41,,INR,Deposit,India Market,Flip
2025-03-19,Net Deposit,,,,4529.87,,INR,Deposit,India Market,Flip
2025-04-15,Net Deposit,,,,-1862.58,,INR,Withdrawal,India Market,Flip
2025-04-17,Net Deposit,,,,2039.42,,INR,Deposit,India Market,Flip
2025-06-23,Net Deposit,,,,-3697.15,,INR,Withdrawal,India Market,Flip
2025-06-25,Net Deposit,,,,521.96,,INR,Deposit,India Market,Flip
2025-06-25,Net Deposit,,,,5513.38,,INR,Deposit,India Market,Flip
2025-07-23,Net Deposit,,,,68.18,,INR,Deposit,India Market,Flip
2025-07-23,Net Deposit,,,,2319.32,,INR,Deposit,India Market,Flip
