Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-02-16,362.53414541181104,366.1724080215106,361.9840545952492,362.08056640625,3077500,0.0,0.0,0.0
2023-02-17,360.14089165650665,361.36653605165765,358.3458951504594,361.1445617675781,3285300,0.0,0.0,0.0
2023-02-21,357.4580327860873,358.36519107187576,353.67501604011204,353.97418212890625,3109200,0.0,0.0,0.0
2023-02-22,354.35048822984766,355.720885477649,352.0922528648294,353.5301818847656,3872000,0.0,0.0,0.0
2023-02-23,356.17442512189257,356.6569547477814,351.40703006200914,355.3058776855469,2867200,0.0,0.0,0.0
2023-02-24,350.6157030140047,352.2756062405448,349.09092223034827,351.5035705566406,4055000,0.0,0.0,0.0
2023-02-27,354.6496622174977,355.8849370461452,351.8509959050764,352.71954345703125,3300100,0.0,0.0,0.0
2023-02-28,352.25633334976783,354.0416696398804,351.3298551410188,351.38775634765625,3022200,0.0,0.0,0.0
2023-03-01,350.64464839023043,351.77378074866823,348.8207015973979,350.1042175292969,3764700,0.0,0.0,0.0
2023-03-02,348.2030726258458,353.55914040563016,347.9328571774315,352.71954345703125,2727200,0.0,0.0,0.0
2023-03-03,354.4566734151462,358.6836382772027,353.8872919062826,358.3072509765625,4913600,0.0,0.0,0.0
2023-03-06,359.252996381228,361.35681865683756,358.32651821752273,358.74151611328125,2638300,0.0,0.0,0.0
2023-03-07,358.64496149786964,358.89588631867645,352.62300140866694,353.1923828125,3546100,0.0,0.0,0.0
2023-03-08,353.31789468696803,354.46631776771596,351.70626192744896,353.7425231933594,2906300,0.0,0.0,0.0
2023-03-09,354.5145732253023,355.9911129156945,346.31156840061766,347.2669677734375,4409600,0.0,0.0,0.0
2023-03-10,346.7747822962598,348.6180492900091,340.80109168729706,342.2872619628906,8360400,0.0,0.0,0.0
2023-03-13,338.5042465913688,346.13787002514175,337.53918718560146,341.7082214355469,6478700,0.0,0.0,0.0
2023-03-14,346.34050033714993,348.87861111125073,343.20405748499576,347.38275146484375,4798800,0.0,0.0,0.0
2023-03-15,342.0749626436222,345.3754789042315,340.2510156071548,345.2403564453125,6610400,0.0,0.0,0.0
2023-03-16,343.117183067986,351.532501128651,342.5863827956819,351.1464538574219,5016700,0.0,0.0,0.0
2023-03-17,350.08491745954933,351.0789273501835,345.8965636751649,347.3055419921875,5189900,0.0,0.0,0.0
2023-03-20,347.8749551222502,350.87627565084324,347.2476724168836,350.4420166015625,3099800,0.0,0.0,0.0
2023-03-21,353.6170835133297,355.5375423231989,352.1308837690892,355.02606201171875,4117600,0.0,0.0,0.0
2023-03-22,354.9295471089856,358.24935382124465,349.0233882573291,349.1391906738281,4094800,0.0,0.0,0.0
2023-03-23,351.7448217762133,355.4216953270804,347.53714794334064,349.9691162109375,4787200,0.0,0.0,0.0
2023-03-24,348.8324501737802,352.3694141028089,346.6424265060783,352.30157470703125,3740400,1.487,0.0,0.0
2023-03-27,354.4043842316807,355.08268946278565,352.14652119837814,352.88299560546875,4144800,0.0,0.0,0.0
2023-03-28,352.28218644732885,352.9217516332399,350.479770092028,352.2627868652344,2413700,0.0,0.0,0.0
2023-03-29,356.02270530853446,357.515024354451,354.94709291255964,357.27276611328125,3636100,0.0,0.0,0.0
2023-03-30,359.73403912013254,359.97629730809825,357.6699946270596,359.4045715332031,3316700,0.0,0.0,0.0
2023-03-31,360.26700492158795,364.68579202223447,360.1410259288777,364.4241638183594,4159800,0.0,0.0,0.0
2023-04-03,363.96874587864846,366.2072094055963,363.60050866252095,365.8680419921875,3525300,0.0,0.0,0.0
2023-04-04,366.47852565005775,366.68201426255234,362.5442547549756,363.8039855957031,2713300,0.0,0.0,0.0
2023-04-05,363.10623772094067,363.7942722358178,361.34262066756975,362.922119140625,3227700,0.0,0.0,0.0
2023-04-06,362.0985285840385,364.54048079082156,361.17793552079706,364.30792236328125,3076200,0.0,0.0,0.0
2023-04-10,361.98218988102815,364.7342690513085,361.4104640788852,364.7051696777344,2671100,0.0,0.0,0.0
2023-04-11,365.22847874720946,366.0618623839069,364.0559572677937,364.753662109375,3069000,0.0,0.0,0.0
2023-04-12,366.68202505142045,366.8952134616277,362.7283840296655,363.30010986328125,3624200,0.0,0.0,0.0
2023-04-13,364.26913003815076,368.3972193046261,363.8136834309456,368.00958251953125,2680900,0.0,0.0,0.0
2023-04-14,367.52505113952424,369.52125629680114,365.05402938414295,367.25372314453125,2981700,0.0,0.0,0.0
2023-04-17,367.10837461150203,368.5425537711742,365.98429303865635,368.5037841796875,2721000,0.0,0.0,0.0
